timestamp,thread_id,txid,completion_time
1754292322.9297905,7,2cb0164e-6965-4e1e-a7ab-6a52b646f49b,2025-08-04 07:25:22.%f
1754292323.340809,6,372b1d7e-7f89-4295-b30c-f37763c34ea0,2025-08-04 07:25:23.%f
1754292323.9817688,1,029aaeb1-d0ff-494b-a345-d73a7f8e4c98,2025-08-04 07:25:23.%f
1754292324.278175,4,164b540b-bbac-41e2-86c5-5e42567fde98,2025-08-04 07:25:24.%f
1754292324.556402,2,8e68d20f-2655-4c22-887c-0c101d0734ea,2025-08-04 07:25:24.%f
1754292324.7143874,3,286540d4-5b4a-4886-8fe6-87c747f96ae1,2025-08-04 07:25:24.%f
1754292325.5462127,0,5b1fcc05-2a8f-44ef-a27f-339718f17245,2025-08-04 07:25:25.%f
1754292327.7164807,6,82877f28-dfc2-4635-8969-f6a057b93b75,2025-08-04 07:25:27.%f
1754292328.5496087,4,da7f1365-def6-441c-b1e7-f4d3f2aa1ec0,2025-08-04 07:25:28.%f
1754292328.8971715,3,a4a4f081-1e8a-46c9-9d6e-d54963ffdc7b,2025-08-04 07:25:28.%f
